,carat,cut,color,clarity,depth,table,price,x,y,z
0,1.01,Very Good,E,SI2,60.0,60.0,4540,6.57,6.49,3.92
1,1.1,Premium,H,VS2,62.5,58.0,5729,6.59,6.54,4.1
2,1.5,Good,E,SI2,61.5,65.0,6300,7.21,7.17,4.42
3,1.53,Premium,E,SI1,61.3,59.0,12968,7.4,7.35,4.52
4,0.84,Fair,D,SI2,64.5,60.0,2167,5.92,5.84,3.79
5,0.4,Premium,D,SI2,60.4,59.0,666,4.8,4.83,2.91
6,0.43,Premium,F,VS2,61.2,59.0,968,4.87,4.84,2.97
7,1.15,Ideal,G,VS2,62.2,54.0,5008,6.74,6.65,4.17
8,0.51,Ideal,E,VVS1,61.3,56.0,3197,5.13,5.21,3.17
9,1.09,Ideal,F,VS1,60.6,57.0,8422,6.62,6.64,4.02
10,1.02,Premium,D,SI2,61.3,62.0,4044,6.46,6.42,3.95
11,1.01,Premium,H,VS2,61.3,59.0,5260,6.45,6.41,3.94
12,1.11,Ideal,D,SI2,61.3,56.0,6129,6.68,6.74,4.12
13,0.41,Ideal,E,VS1,62.0,54.0,1079,4.76,4.79,2.96
14,0.55,Premium,E,VS2,59.1,60.0,1664,5.35,5.31,3.15
15,0.26,Ideal,H,VS1,62.3,54.0,482,4.07,4.11,2.55
16,0.31,Premium,H,VVS2,62.4,59.0,802,4.35,4.31,2.7
17,1.06,Ideal,G,VVS2,61.4,56.0,9645,6.56,6.62,4.04
18,0.72,Very Good,F,VS1,62.1,59.0,3059,5.69,5.74,3.55
19,0.32,Premium,H,VS2,60.5,59.0,648,4.43,4.39,2.67
20,0.42,Ideal,E,VVS1,61.6,56.0,1400,4.81,4.84,2.97
21,0.9,Very Good,G,SI1,63.2,59.0,3669,6.1,6.05,3.84
22,0.54,Ideal,D,VVS1,61.2,57.0,3494,5.25,5.27,3.22
23,0.44,Ideal,E,VVS1,61.4,55.0,1868,4.92,4.95,3.03
24,0.41,Ideal,F,IF,61.4,58.0,1439,4.78,4.83,2.95
25,1.41,Premium,G,SI1,59.5,59.0,8758,7.35,7.3,4.36
26,1.72,Good,F,SI1,63.2,61.0,13499,7.57,7.62,4.8
